media_subtype,vendor
OUT DOOR,Digital Frame Indonesia. PT.
PROPRIETARY MEDIA,WIRA PAMUNGKAS PARIWARA; PT (PROPRIETARY MEDIA - KOMPAS TV)
OUT DOOR,MEDIA PROMOSI INDONESIA PT
MAGAZINE,INFOARTA PRATAMA; PT
RADIO,NBS/NASIONAL BUANA SWARA
OUT DOOR,WICAKSANA CV
RADIO,RADIO ATTAHIRIYAH; PT
OUT DOOR,PSIM JAYA JOGJAKARTA PT.
RADIO,RADIO SWARA INDAH SUKABUMI. PT
RADIO,KIS FM  JAKARTA
NEWSPAPPER,JURNALINDO AKSARA GRAFIKA; PT
OUT DOOR,EKATANA INTRASURYA PERSADA PT. (OOH)
OUT DOOR,MULIA INTIPELANGI; PT.
NEWSPAPPER,BALI POST
TV PAY,LINKNET; PT. TBK
NEWSPAPPER,BINA MEDIA TENGGARA; PT
OUT DOOR,PT. GARUDA SEPAKBOLA  INDONESIA
NEWSPAPPER,MEDIA INDONESIA
RADIO,RADIO FISKARIA JAYA SUARA SURABAYA; PT
PROPRIETARY MEDIA,WIRA PAMUNGKAS PARIWARA PT; (TRADING MENTARI TV)
NEWSPAPPER,HARIAN TRIBUN MEDAN
NEWSPAPPER,TRIBUN KALTIM
OUT DOOR,THE PERFECT MEDIA; PT.
OUT DOOR,TEAM LIQUID INDONESIA PT.
MAGAZINE,SENIOR MARKETING SYSTEM INDONESIA; PT
NEWSPAPPER,TRIBUN JOGJA
NEWSPAPPER,TRIBUN PONTIANAK
OUT DOOR,MELANIA CITRA PERMATA PT.
MAGAZINE,TEMPO
NEWSPAPPER,KEDAULATAN RAKYAT
OUT DOOR,ODY LESTARI; PT
NEWSPAPPER,RADAR KUDUS
RADIO,KISS 105 FM  MEDAN
MAGAZINE,COSMOPOLITAN
RADIO,PRAMBORS  SOLO
RADIO,JARINGAN DELTA FEMALE INDONESIA; PT.
OUT DOOR,BHLN. IMD MEDIA PTE LTD
MAGAZINE,KOMPAS MEDIA NUSANTARA; PT
NEWSPAPPER,BALI MEDIA GRAFIKA; PT.
OUT DOOR,PT. MITRA MUDA JAYA
RADIO,CITRA MEGASWARA
NEWSPAPPER,TRIBUN PEKANBARU
NEWSPAPPER,SRIWIJAYA POST
TV,PT Bersatu Universe Digital Indonesia (Television)
RADIO,DELTA FM JAKARTA
NEWSPAPPER,RADAR BOJONEGORO
OUT DOOR,PT. KREASI ANTAR RUPA
NEWSPAPPER,TRIBUN LAMPUNG (LAMPUNG MEDIA GRAFIKA PT)
RADIO,RIA CINDELARAS  INDRAMAYU
OUT DOOR,REED EXHIBITIONS INDONESIA; PT
NEWSPAPPER,TRIBUN TIMUR
NEWSPAPPER,PIKIRAN RAKYAT
NEWSPAPPER,LOMBOK POST
MAGAZINE,KOMUNIKASI PERKASA INTERNATIONAL; PT.
OUT DOOR,AIR BIRU GERHANA PT
OUT DOOR,PT. ESENSI KREASI INDONESIA
CONTENT & PRODUCTION,MP GAMES; PT.
SPONSORSHIP/ PACKAGE,SHOPEE INTERNATIONAL INDONESIA; PT
VIDEO,GOOGLE INDONESIA; PT
PAID VIDEO,MP GAMES; PT.
PAID VIDEO,FACEBOOK IRELAND LIMITED.
FEE,DOUBLE VERIFY INC
CONTENT & PRODUCTION,GAGAS MAHADAYA INDERA; PT. (INCA)
PAID NON VIDEO,FACEBOOK IRELAND LIMITED.
DISPLAY,ECART WEBPORTAL INDONESIA; PT.
VIDEO (ICO),GAGAS MAHADAYA INDERA; PT. (ICO)
CONTENT & PRODUCTION,TRANS DIGITAL MEDIA; PT
FEE,CCHANEL MEDIA INDONESIA; PT.
SPONSORSHIP/ PACKAGE,TOKOPEDIA; PT.
SEARCH,TOKOPEDIA; PT.
VIDEO,GAGAS MAHADAYA INDERA; PT.
SPONSORSHIP/ PACKAGE,FACEBOOK IRELAND LIMITED.
CONTENT & PRODUCTION,SAMINDRA UTAMA; PT.
CONTENT & PRODUCTION,FACEBOOK IRELAND LIMITED.
FEE,MEDIA MITRA BUNDA (MAJALAH PREGNANCY)
CONTENT & PRODUCTION,NARASI CITRA SAHWAHITA; PT
TECH SERVICE,ZEFR Inc.
AD-OPS,INTEGRAL AD SCIENCE SINGAPORE PTE LTD
INFLUENCER,AD ASIA TECHNOLOGY INDONESIA
ECOMMERCE,FACEBOOK IRELAND LIMITED.
CONTENT & PRODUCTION,MINDO SMALL BUSINESS SOLUTIONS PT.
DISPLAY,AXIATA DIGITAL ANALYTICS INDONESIA; PT.
VIDEO,THE TRADE DESK; INC.
MOBILE APP,FREAKOUT DEWINA INDONESIA; PT.
AD-OPS,GOOGLE INDONESIA; PT
DISPLAY,GOOGLE INDONESIA; PT
DISPLAY,SHOPEE INTERNATIONAL INDONESIA; PT
PAID VIDEO,TWITTER ASIA PASIFIC. PTE. LTD
VIDEO,GAGAS MAHADAYA INDERA; PT.
AFFILIATE,SHOPEE INTERNATIONAL INDONESIA; PT
SEM,GOOGLE INDONESIA; PT
TECH SERVICE,DOUBLE VERIFY INC
CONTENT & PRODUCTION,UNTUNG SELALU SUKSES; PT
DISPLAY,TOKOPEDIA; PT.
VIDEO (ICO),GAGAS MAHADAYA INDERA; PT. (ICO)
PAID NON VIDEO,MP GAMES; PT.
PAID INFLUENCER ACTIVATION,VIRAL PITCH TECHOLOGIES PTE. LTD. (SPORE)
DISPLAY,ASTRO TECHNOLOGIES INDONESIA ; PT
FEE,GAGAS MAHADAYA INDERA; PT.
INFLUENCER,GAGAS MAHADAYA INDERA; PT. (INCA)
CONTENT & PRODUCTION,TELEKOMUNIKASI SELULAR; PT.
CONTENT & PRODUCTION,ANYMIND TECHNOLOGY INDONESIA; PT.
CONTENT & PRODUCTION,ANYMIND TECHNOLOGY INDONESIA; PT.
VIDEO,GAGAS MAHADAYA INDERA; PT.
AFFILIATE,GLOBAL DIGITAL NIAGA; PT
VIDEO (ICO),GAGAS MAHADAYA INDERA; PT. (ICO) - Programmatic
SPONSORSHIP/ PACKAGE,SHOPEE INTERNATIONAL INDONESIA; PT
